[2025-05-31 22:37:22] [INFO    ] discord.client: logging in using static token
[2025-05-31 22:37:22] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-05-31 22:37:22] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-05-31 22:37:22] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1370561278510235699', 'username': 'Project', 'avatar': None, 'discriminator': '1814', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-05-31 22:37:22] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-05-31 22:37:22] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-05-31 22:37:22] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1370561278510235699', 'name': 'Project', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1370561278510235699', 'username': 'Project', 'avatar': None, 'discriminator': '1814', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'c6b5a606d8b19e89536821af70d7526850b79336a612dc2c0e1d821f9c74f670', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '195567724141740034', 'username': 'eggsentric', 'avatar': '907b1ca373b1ffbcbf85da21548eb459', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'Excentric', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-05-31 22:37:22] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-05-31 22:37:22] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-b-2qcm",{"micros":0.0}]']}}
[2025-05-31 22:37:22] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-05-31 22:37:22] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-31 22:37:23] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Project', 'primary_guild': None, 'mfa_enabled': False, 'id': '1370561278510235699', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '1814', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '715b0ab721f291bfaeb1750090c14e81', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1371264562132815872'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['newark', 'us-east', 'us-central', 'atlanta', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1370561278510235699', 'flags': 557056}, '_trace': ['["gateway-prd-us-east1-b-2qcm",{"micros":71594,"calls":["id_created",{"micros":466,"calls":[]},"session_lookup_time",{"micros":260,"calls":[]},"session_lookup_finished",{"micros":12,"calls":[]},"discord-sessions-prd-2-25",{"micros":68244,"calls":["start_session",{"micros":53142,"calls":["discord-api-rpc-66f6d98dc-dwsrg",{"micros":44546,"calls":["get_user",{"micros":6283},"get_guilds",{"micros":3269},"send_scheduled_deletion_message",{"micros":16},"guild_join_requests",{"micros":3},"authorized_ip_coro",{"micros":14},"pending_payments",{"micros":1080},"apex_user_experiments",{"micros":5},"user_activities",{"micros":3}]}]},"starting_guild_connect",{"micros":25,"calls":[]},"presence_started",{"micros":1456,"calls":[]},"guilds_started",{"micros":68,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":13505,"calls":[]},"connect_finished",{"micros":13538,"calls":[]},"build_ready",{"micros":11,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-05-31 22:37:23] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-31 22:37:23] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 715b0ab721f291bfaeb1750090c14e81).
[2025-05-31 22:37:23] [DEBUG   ] discord.client: Dispatching event connect
